id1,id2,tag,tag_counts,selfpairs,DegreePercentile1,DegreePercentile2,DegreePercentileProduct
FLORIDA,NEW_JERSEY,FLORIDA_NEW_JERSEY,1,0,0.0833333333333334,0.270833333333333,-0.0139420595831954
DELAWARE,LOUISIANA,DELAWARE_LOUISIANA,1,0,0.270833333333333,0.270833333333333,-0.00140837095325422
CONNECTICUT,MAINE,CONNECTICUT_MAINE,1,0,0.270833333333333,0.0208333333333334,0.0049481301141434
OREGON,SOUTH_CAROLINA,OREGON_SOUTH_CAROLINA,1,0,0.479166666666667,0.0833333333333334,0.00768645512800632
LOUISIANA,SOUTH_CAROLINA,LOUISIANA_SOUTH_CAROLINA,1,0,0.270833333333333,0.0833333333333334,0.0166566846656989
NEW_JERSEY,WASHINGTON,NEW_JERSEY_WASHINGTON,1,0,0.270833333333333,0.0833333333333334,0.0187929165775659
FLORIDA,INDIANA,FLORIDA_INDIANA,1,0,0.0833333333333334,0.479166666666667,0.0248701342236417
NORTH_DAKOTA,WASHINGTON,NORTH_DAKOTA_WASHINGTON,1,0,0.270833333333333,0.0833333333333334,0.0261280337583954
LOUISIANA,NORTH_DAKOTA,LOUISIANA_NORTH_DAKOTA,1,0,0.270833333333333,0.270833333333333,0.0515344448508118
NORTH_DAKOTA,VERMONT,NORTH_DAKOTA_VERMONT,1,0,0.270833333333333,0.270833333333333,0.0711706030627988
CONNECTICUT,OREGON,CONNECTICUT_OREGON,1,0,0.270833333333333,0.479166666666667,0.0760845166594964
CONNECTICUT,VERMONT,CONNECTICUT_VERMONT,1,0,0.270833333333333,0.270833333333333,0.076348974248333
DELAWARE,NEW_HAMPSHIRE,DELAWARE_NEW_HAMPSHIRE,1,0,0.270833333333333,0.270833333333333,0.0837239141831915
CALIFORNIA,DELAWARE,CALIFORNIA_DELAWARE,1,0,0.270833333333333,0.270833333333333,0.0895491696869444
ALABAMA,NEW_HAMPSHIRE,ALABAMA_NEW_HAMPSHIRE,1,0,0.479166666666667,0.270833333333333,0.101828405006426
INDIANA,RHODE_ISLAND,INDIANA_RHODE_ISLAND,1,0,0.479166666666667,0.270833333333333,0.119481276744422
